70.11469.82
Time_days      V    Verr    R    Rerr
 2618.65     18.217    0.081   17.118    0.022
 2623.61     18.307    0.056   17.548    0.052
 2626.54     18.237    0.049   17.466    0.032
 2628.46     18.180    0.049   17.573    0.043
 2637.46     18.222    0.052   17.334    0.020
 2642.53     17.997    0.069  -99.000  -99.000
 2655.38     18.156    0.082   17.546    0.071
 2658.53     18.027    0.068   17.487    0.064
 2664.44     18.137    0.055   17.546    0.053
 2670.39     18.185    0.073   17.546    0.060
 2679.40     18.327    0.057   17.647    0.051
 2682.38     18.283    0.077   17.546    0.060
 2685.38     18.334    0.052   17.636    0.047
 2692.40     18.381    0.056   17.647    0.046
 2696.44     18.349    0.089   17.615    0.060
 2707.38     18.418    0.051   17.674    0.042
 2732.38     18.100    0.077   17.446    0.062
 2758.75     17.770    0.048  -99.000  -99.000
 2769.70     17.834    0.047   17.280    0.044
 2772.75     17.595    0.043   17.064    0.047
 2782.76     17.873    0.040   17.312    0.043
 2785.75     17.834    0.038   17.311    0.043
 2788.78     17.867    0.039   17.347    0.046
 2797.69     17.999    0.041   17.468    0.042
 2800.73     18.040    0.039   17.471    0.040
 2808.71     18.050    0.050   17.426    0.050
 2811.70     18.143    0.040   17.522    0.038
 2816.68     18.142    0.051   17.484    0.046
 2817.78     18.178    0.040   17.557    0.045
 2826.68     18.267    0.046   17.620    0.040
 2835.74     18.248    0.039   17.584    0.039
 2840.56     18.284    0.045   17.646    0.043
 2847.64     18.272    0.069   17.536    0.051
 2849.58     18.307    0.077   17.557    0.056
 2854.65     18.328    0.077   17.700    0.058
 2856.51     18.286    0.051   17.654    0.048
 2861.53     18.316    0.062   17.660    0.057
 2866.51     18.266    0.058   17.621    0.056
 2869.55     18.321    0.056   17.669    0.055
 2871.63     18.359    0.045   17.652    0.039
 2886.49     18.508    0.083   17.758    0.060
 2889.63     18.528    0.050   17.760    0.040
 2890.74     18.530    0.069   17.860    0.060
 2892.59     18.470    0.072   17.725    0.055
 2909.61     18.421    0.076   17.665    0.055
 2918.73     18.195    0.056  -99.000  -99.000
 2923.61     18.177    0.047  -99.000  -99.000
